Start	Message	R0	Incubation Time	Infection Duration	N Imported Infections	Import Time	Contact density decline	Behavioral Risk Reduction	Behavior Reaction Time	Potential Isolation Effectiveness	Isolation Reaction Time	Public Health Capacity	Public Health Capacity Sensitivity	Hospital Capacity	Hospital Capacity Sensitivity	Treated Fatality Rate	Untreated Fatality Rate	PAYOFF	Simulations
0	BEST	     2.92875	     5.46017	     6.38907	     9.89978	          10	           4	    0.368466	          50	   0.0522572	           1	       1e+07	          10	       10000	         0.5	         0.2	         0.3	        -1.10061e+20	1515
1	BEST	     4.64634	           3	           4	      9.7839	     28.9124	           4	    0.191505	          50	    0.628947	     7.72908	       1e+07	     6.85248	       10000	         0.5	    0.161133	         0.3	        -1.04683e+20	3960
2	BEST	     4.50013	     3.02539	     7.51725	           1	     21.4165	           4	    0.623419	     40.0925	    0.107029	     9.84345	       1e+07	          10	       10000	         0.5	         0.2	         0.3	        -7.69523e+19	7499
3	OK	           5	           3	           4	     9.97487	     10.1215	           4	    0.394773	     15.2727	    0.510325	           1	       1e+07	     6.58375	      303707	     5.92795	    0.193155	    0.229386	        -1.35298e+20	8468
4	BEST	     4.86214	           3	           4	     6.75085	     39.6885	           4	    0.427768	          50	    0.584743	     9.45528	       1e+07	     8.60935	      529047	          10	    0.190725	   0.0537155	        -6.33345e+19	10670
5	OK	     4.98157	           3	     4.00242	     9.91283	     13.5626	           4	    0.120616	          50	    0.666077	     3.68877	 9.76312e+06	     6.50563	      803009	     6.58956	    0.194695	    0.254679	        -1.21652e+20	12357
6	OK	     4.75911	     5.30626	     11.4869	     3.11483	     11.2091	           4	    0.588556	          50	   0.0050461	           1	       1e+07	     7.42224	      910456	     9.05045	         0.2	    0.195729	        -9.53554e+19	14612
7	OK	     4.81519	           3	           4	     8.70262	     10.3123	           4	     0.23003	          50	    0.615654	           1	       1e+07	          10	       1e+06	         0.5	    0.189361	    0.241389	        -1.12926e+20	18497
8	OK	     4.87204	     13.3835	     5.36868	     9.44159	          10	           4	     0.34993	          50	    0.264855	     9.19367	       1e+07	     6.16859	      379987	     7.79212	         0.2	     0.11045	        -1.17956e+20	20144
9	BEST	     4.93855	     6.64682	      5.2702	     2.71559	     38.3213	           4	     0.88445	          50	           0	     4.47284	      101848	         0.5	       10000	         0.5	         0.2	         0.3	        -2.16947e+19	24152
10	OK	           5	           3	           4	     8.33698	     15.8099	           4	           0	     25.0939	    0.705057	     7.31545	       1e+07	     6.32321	     10114.8	         0.5	    0.161169	         0.3	         -1.3799e+20	25155
11	OK	     4.48302	     3.01098	     7.71532	     1.35901	     34.4156	           4	    0.832245	          50	           0	     3.68189	       1e+07	      7.8334	       10000	         0.5	         0.2	    0.288911	        -2.48843e+19	26917
12	OK	           5	           3	           4	     9.08283	          40	           4	    0.331653	          50	    0.629002	     9.36938	       1e+07	     7.82616	      946365	     6.19347	    0.191224	         0.3	        -7.58912e+19	28888
13	OK	           5	           3	           4	     9.90253	     10.0725	           4	    0.198676	      41.707	    0.633477	           1	 8.19187e+06	     6.67174	       10000	         0.5	    0.163757	         0.3	         -1.1972e+20	30023
14	OK	           5	           3	           4	     9.73841	          10	           4	     0.43327	      10.012	    0.474197	     2.60163	 9.14775e+06	     8.59323	       10000	         0.5	    0.163084	         0.3	        -1.35163e+20	31820
15	BEST	     4.90399	     3.02283	     4.04166	     1.70514	          40	           4	     0.81941	     45.0897	    0.331631	           1	      100000	    0.567418	     75258.2	    0.519638	         0.2	   0.0885412	        -1.67657e+19	34286
16	OK	     4.91601	           3	     8.34733	     9.85787	     11.4373	           4	    0.347937	          50	    0.470563	     1.22035	       1e+07	     8.39707	      962071	     9.20748	         0.2	    0.155902	        -1.08637e+20	35740
17	OK	      4.9478	           3	           4	          10	        37.7	           4	    0.136331	          50	    0.670347	          10	       1e+07	     6.88328	       10000	     2.01486	    0.197974	        0.02	        -1.02082e+20	37920
18	OK	           5	           3	     4.77734	     1.66224	     39.5625	           4	    0.704297	     31.3806	    0.184881	           1	 7.53262e+06	     7.92746	     16488.9	     1.00848	         0.2	    0.175131	        -4.05858e+19	41413
19	OK	           5	           3	           4	     8.53842	     21.5626	           4	    0.125255	          50	    0.669364	     6.28783	  7.5802e+06	     7.19045	     10030.3	    0.517695	    0.165255	    0.299916	        -1.17455e+20	43534
20	OK	     4.99537	           3	           4	     9.92045	     39.9378	           4	    0.296087	     26.4545	    0.595699	     9.55882	       1e+07	     7.24515	       1e+06	          10	     0.19274	         0.3	        -9.63154e+19	45480
21	OK	     4.09762	     4.99592	     4.09483	     7.13196	     18.6825	           4	    0.454479	          50	    0.372709	           1	  2.7747e+06	     9.47561	      207700	          10	         0.2	    0.106924	         -9.4067e+19	47301
22	OK	     4.62808	           3	           4	     9.09973	     14.7498	           4	    0.267154	          50	    0.585332	           1	       1e+07	     8.08913	      403745	     7.40754	    0.193788	    0.131346	        -1.05113e+20	49418
23	OK	           5	           3	           4	     9.92473	          10	           4	           0	     19.5633	    0.701877	     5.16519	 4.05859e+06	     7.25769	       10000	         0.5	    0.162178	         0.3	        -1.35563e+20	50124
24	OK	     3.75598	     4.93925	     5.29727	      4.5573	     20.3857	     1.94448	    0.518546	     45.8988	    0.187125	     9.73566	       1e+07	     8.06633	       10000	         0.5	    0.199137	         0.3	        -9.03108e+19	50730
