Start	Message	R0	Incubation Time	Infection Duration	N Imported Infections	Import Time	Contact density decline	Behavioral Risk Reduction	Behavior Reaction Time	Potential Isolation Effectiveness	Isolation Reaction Time	Public Health Capacity	Public Health Capacity Sensitivity	Hospital Capacity	Hospital Capacity Sensitivity	Treated Fatality Rate	Untreated Fatality Rate	PAYOFF	
0	BEST	         2.4	           5	           7	           5	          20	           0	           0	          50	           0	           5	       1e+06	           2	      200000	           2	         0.2	         0.3	        -2.63142e+21	
1	OK	     3.09336	     7.45444	     10.9871	     7.04745	     32.8748	    0.894743	    0.999428	     23.6428	    0.710496	     3.38871	 5.57679e+06	     2.94398	      229573	     2.13485	    0.176554	    0.143703	        -6.26299e+21	
2	OK	     4.35808	     3.23498	     9.55131	     9.73194	     14.1689	     1.77812	    0.536282	     18.2025	    0.144265	     5.30376	 3.15111e+06	      7.9698	     74882.2	     4.42836	    0.108269	    0.293035	        -3.54709e+21	
3	OK	     2.67561	     13.9153	     8.70802	     9.14952	     22.8982	     3.61092	    0.617486	     16.7161	    0.515567	     1.80368	  5.4802e+06	     4.31612	      497650	     6.00193	    0.155222	    0.204074	        -6.26106e+21	
4	OK	      4.0464	     14.5423	     14.8576	     5.79782	     38.3763	      2.5756	  0.00154048	     39.5505	    0.584743	     4.07375	 9.11043e+06	     2.04586	      350899	      4.2814	   0.0560782	   0.0493546	        -6.25594e+21	
5	OK	     4.50838	     3.60389	     6.69521	     3.52671	     34.8285	     1.39933	    0.264949	     34.9114	    0.666077	     6.94078	 9.63071e+06	     5.74279	      803009	     6.58956	    0.146811	    0.254679	        -6.20369e+21	
6	OK	     4.48611	     13.5865	      11.469	      7.6927	     11.8335	     1.19792	    0.549658	     34.4814	   0.0443538	     5.60405	 7.91559e+06	     3.51374	      910456	     9.05045	     0.11212	    0.195729	        -5.88448e+21	
7	OK	     4.48746	      3.7097	     13.2583	     3.04623	     14.7546	     1.10353	    0.373832	     21.3217	     0.64108	     5.59263	 8.46546e+06	     1.24219	     89331.8	     6.29406	   0.0942759	    0.127321	        -6.25617e+21	
8	OK	     2.30033	     14.9611	     6.40449	     8.96147	     11.0163	    0.555511	    0.315284	     13.0518	   0.0223409	     4.75507	 5.55049e+06	     3.90097	      379987	     7.79212	    0.055267	     0.11045	        -6.21295e+21	
9	OK	     3.49672	     14.1948	     5.17383	      3.2251	     28.9061	     1.82418	    0.839147	      21.708	    0.252927	     6.72125	 3.86568e+06	    0.687723	     70587.1	     2.97413	    0.018792	    0.192186	         -6.2584e+21	
10	OK	     3.25499	     4.13904	     6.95605	      1.4097	     38.6642	     1.25187	     0.35871	     25.0939	    0.845672	     6.74481	      757105	     6.08381	      289366	     3.19505	   0.0201122	    0.117648	        -6.26447e+21	
11	OK	     2.22854	     13.6979	      12.799	     6.96928	     17.7163	     3.14563	    0.716602	     34.6299	    0.012776	     7.89541	 8.88848e+06	     5.55598	      789303	     1.57497	   0.0734115	    0.260776	        -6.25642e+21	
12	OK	     4.00791	     13.5312	     11.6004	      8.3126	      16.317	     3.10582	    0.655737	     45.0713	    0.943579	     3.29207	 3.69106e+06	     5.55853	      853693	     4.65721	   0.0202542	   0.0986758	        -6.26324e+21	
13	OK	     4.88318	     14.0172	     7.04429	     1.15512	     16.1345	     0.13847	    0.238316	     40.7207	    0.633477	     2.41514	 1.76423e+06	     6.67174	      628131	     2.48428	    0.152705	    0.203336	        -6.25883e+21	
14	OK	     4.32634	     3.32294	     10.8519	     2.68522	     33.3205	    0.238268	    0.581324	     14.2893	    0.483643	     4.37129	 9.14775e+06	     8.59323	      615786	     2.66369	   0.0885722	    0.164456	        -6.25789e+21	
15	OK	      3.5635	     5.80781	     8.94167	     1.84104	     21.9871	     3.93025	    0.909215	     44.4078	    0.331262	     2.15699	      794074	     5.64525	      546810	     4.54984	   0.0821033	     0.17067	        -6.25476e+21	
16	OK	     3.26372	     8.89144	     9.00222	     9.84123	      13.968	    0.949594	    0.279015	     16.2075	    0.449306	     5.42189	 9.11041e+06	     4.48857	      962071	     9.20748	    0.107228	    0.155902	        -6.22115e+21	
17	OK	     2.62884	     12.5616	     9.18413	      8.0066	     38.8926	      3.9535	    0.436301	     42.0935	    0.940867	      8.2514	 2.57865e+06	     4.61565	     15271.4	    0.697521	    0.199295	    0.161342	        -6.26257e+21	
18	OK	      3.0279	     7.49545	     5.69041	     2.50182	     19.3751	    0.465784	    0.729827	     27.9145	    0.213482	     6.39295	 7.53262e+06	     7.92746	      604125	     3.57053	     0.11281	    0.130933	        -6.25046e+21	
19	OK	     2.98713	     9.07623	     8.01801	     2.75276	     22.2788	     2.71185	    0.743204	     21.3233	    0.731383	     4.08425	      740356	     7.19045	      939762	     4.49266	    0.169711	    0.249581	        -6.26435e+21	
20	OK	      4.0343	     13.8965	     6.48967	     5.16585	     18.0137	     2.73784	    0.837529	      23.982	    0.595699	     9.92161	 2.83109e+06	     3.33665	      859343	     4.30969	    0.186594	    0.183574	        -6.25737e+21	
21	OK	     4.24432	     14.8233	     4.15176	     3.88557	     17.8936	     1.55483	    0.428746	     23.5451	    0.371295	     1.07012	  2.7747e+06	     9.47561	      281935	     3.63507	    0.190777	   0.0982808	        -6.19458e+21	
22	OK	     2.78221	     3.68262	     7.51072	     1.28176	     34.2394	     1.39479	     0.24226	     18.2568	    0.583636	     2.56855	  6.7385e+06	     1.52564	      378797	     7.40754	    0.196487	    0.131346	          -6.264e+21	
23	OK	     3.67043	      3.1215	     9.13558	     7.20111	      21.951	     2.84558	   0.0542124	     19.5633	    0.752277	     5.15755	 4.05859e+06	     7.25769	      305390	     2.94591	    0.130461	    0.246685	        -6.25368e+21	
24	OK	     4.96284	     5.15286	     5.29727	     3.42642	     20.2848	     3.28242	    0.431447	     34.8969	    0.166513	     1.83083	 2.63884e+06	     1.50285	      972405	     4.34727	   0.0961884	    0.204683	        -2.33157e+24	
