,time,date,confirmed,active,recovered,deaths
0,22,2020-01-22T00:00:00Z,0,0,0,0
1,23,2020-01-23T00:00:00Z,0,0,0,0
2,24,2020-01-24T00:00:00Z,0,0,0,0
3,25,2020-01-25T00:00:00Z,0,0,0,0
4,26,2020-01-26T00:00:00Z,0,0,0,0
5,27,2020-01-27T00:00:00Z,0,0,0,0
6,28,2020-01-28T00:00:00Z,0,0,0,0
7,29,2020-01-29T00:00:00Z,0,0,0,0
8,30,2020-01-30T00:00:00Z,0,0,0,0
9,31,2020-01-31T00:00:00Z,2,0,0,0
10,32,2020-02-01T00:00:00Z,2,0,0,0
11,33,2020-02-02T00:00:00Z,2,0,0,0
12,34,2020-02-03T00:00:00Z,2,0,0,0
13,35,2020-02-04T00:00:00Z,2,0,0,0
14,36,2020-02-05T00:00:00Z,2,0,0,0
15,37,2020-02-06T00:00:00Z,2,0,0,0
16,38,2020-02-07T00:00:00Z,3,0,0,0
17,39,2020-02-08T00:00:00Z,3,0,0,0
18,40,2020-02-09T00:00:00Z,3,0,0,0
19,41,2020-02-10T00:00:00Z,8,0,0,0
20,42,2020-02-11T00:00:00Z,8,0,0,0
21,43,2020-02-12T00:00:00Z,9,0,1,0
22,44,2020-02-13T00:00:00Z,9,0,1,0
23,45,2020-02-14T00:00:00Z,9,0,1,0
24,46,2020-02-15T00:00:00Z,9,0,1,0
25,47,2020-02-16T00:00:00Z,9,0,8,0
26,48,2020-02-17T00:00:00Z,9,0,8,0
27,49,2020-02-18T00:00:00Z,9,0,8,0
28,50,2020-02-19T00:00:00Z,9,0,8,0
29,51,2020-02-20T00:00:00Z,9,0,8,0
30,52,2020-02-21T00:00:00Z,9,0,8,0
31,53,2020-02-22T00:00:00Z,9,0,8,0
32,54,2020-02-23T00:00:00Z,9,0,8,0
33,55,2020-02-24T00:00:00Z,13,0,8,0
34,56,2020-02-25T00:00:00Z,13,0,8,0
35,57,2020-02-26T00:00:00Z,13,0,8,0
36,58,2020-02-27T00:00:00Z,15,0,8,0
37,59,2020-02-28T00:00:00Z,20,0,8,0
38,60,2020-02-29T00:00:00Z,23,0,8,0
39,61,2020-03-01T00:00:00Z,36,0,8,0
40,62,2020-03-02T00:00:00Z,40,0,8,0
41,63,2020-03-03T00:00:00Z,51,0,8,0
42,64,2020-03-04T00:00:00Z,85,0,8,0
43,65,2020-03-05T00:00:00Z,115,0,8,1
44,66,2020-03-06T00:00:00Z,163,0,8,2
45,67,2020-03-07T00:00:00Z,206,0,18,2
46,68,2020-03-08T00:00:00Z,273,0,18,3
47,69,2020-03-09T00:00:00Z,321,0,18,4
48,70,2020-03-10T00:00:00Z,382,0,18,6
49,71,2020-03-11T00:00:00Z,456,0,18,8
50,72,2020-03-12T00:00:00Z,456,0,18,8
51,73,2020-03-13T00:00:00Z,798,0,18,8
52,74,2020-03-14T00:00:00Z,1140,0,18,21
53,75,2020-03-15T00:00:00Z,1140,0,18,21
54,76,2020-03-16T00:00:00Z,1543,0,20,55
55,77,2020-03-17T00:00:00Z,1950,0,52,55
56,78,2020-03-18T00:00:00Z,2626,0,65,71
57,79,2020-03-19T00:00:00Z,2689,0,65,137
58,80,2020-03-20T00:00:00Z,3983,0,65,177
59,81,2020-03-21T00:00:00Z,5018,0,65,233
60,82,2020-03-22T00:00:00Z,5683,0,65,281
61,83,2020-03-23T00:00:00Z,6650,0,65,335
62,84,2020-03-24T00:00:00Z,8077,0,135,422
63,85,2020-03-25T00:00:00Z,9529,0,135,465
64,86,2020-03-26T00:00:00Z,11658,0,135,578
65,87,2020-03-27T00:00:00Z,14543,0,135,759
66,88,2020-03-28T00:00:00Z,17089,0,135,1019
67,89,2020-03-29T00:00:00Z,19522,0,135,1228
68,90,2020-03-30T00:00:00Z,22141,0,135,1408
69,91,2020-03-31T00:00:00Z,25150,0,135,1789
70,92,2020-04-01T00:00:00Z,29474,0,135,2352
71,93,2020-04-02T00:00:00Z,33718,0,135,2921
72,94,2020-04-03T00:00:00Z,38168,0,135,3605
73,95,2020-04-04T00:00:00Z,41903,0,135,4313
74,96,2020-04-05T00:00:00Z,47806,0,135,4934
75,97,2020-04-06T00:00:00Z,51608,0,135,5373
76,98,2020-04-07T00:00:00Z,55242,0,135,6159
77,99,2020-04-08T00:00:00Z,60733,0,135,7097
78,100,2020-04-09T00:00:00Z,65077,0,135,7978
79,101,2020-04-10T00:00:00Z,73758,0,344,8958
80,102,2020-04-11T00:00:00Z,78991,0,344,9875
81,103,2020-04-12T00:00:00Z,84279,0,344,10612
82,104,2020-04-13T00:00:00Z,88621,0,0,11329
83,105,2020-04-14T00:00:00Z,93873,0,0,12107
84,106,2020-04-15T00:00:00Z,98476,0,0,12868
85,107,2020-04-16T00:00:00Z,103093,0,0,13729
86,108,2020-04-17T00:00:00Z,108692,0,0,14576
87,109,2020-04-18T00:00:00Z,114217,0,0,15464
88,110,2020-04-19T00:00:00Z,120067,0,0,16060
89,111,2020-04-20T00:00:00Z,124743,0,0,16509
90,112,2020-04-21T00:00:00Z,129044,0,0,17337
91,113,2020-04-22T00:00:00Z,133495,0,0,18100
92,114,2020-04-23T00:00:00Z,138078,0,0,18738
93,115,2020-04-24T00:00:00Z,143464,0,0,19506
94,116,2020-04-25T00:00:00Z,148377,0,0,20319
95,117,2020-04-26T00:00:00Z,152840,0,0,20732
96,118,2020-04-27T00:00:00Z,157149,0,0,21092
97,119,2020-04-28T00:00:00Z,161145,0,0,21678
98,120,2020-04-29T00:00:00Z,165221,0,0,26097
